"asset_id","llc_name","portfolio","address","year_built","units_count","unit_number","bedroom_count"
"S0024","SREP Park 5 LLC","Park Portfolio","10 Wolcott St",,"7",,
"S0011","SREP NORTHEND LLC","North End Portf.","110 Martin St",,"7","1","2"
"S0011","SREP NORTHEND LLC","North End Portf.","110 Martin St",,"7","2","2"
"S0011","SREP NORTHEND LLC","North End Portf.","110 Martin St",,"7","3","2"
"S0011","SREP NORTHEND LLC","North End Portf.","110 Martin St",,"7","4","2"
"S0011","SREP NORTHEND LLC","North End Portf.","110 Martin St",,"7","5","2"
"S0011","SREP NORTHEND LLC","North End Portf.","110 Martin St",,"7","6","2"
"S0011","SREP NORTHEND LLC","North End Portf.","110 Martin St",,"7","7","2"
"S0012","SREP NORTHEND LLC","North End Portf.","120 Martin St",,"2","1st","2"
"S0012","SREP NORTHEND LLC","North End Portf.","120 Martin St",,"2","2nd","2"
"S0033","SREP PARK 10 LLC","Park Portfolio","142 Seymour St",,"2","1","2"
"S0033","SREP PARK 10 LLC","Park Portfolio","142 Seymour St",,"2","2","2"
"S0026","SREP PARK 7 LLC","Park Portfolio","144-146 Affleck St",,"6","1S","2"
"S0026","SREP PARK 7 LLC","Park Portfolio","144-146 Affleck St",,"6","2N","2"
"S0026","SREP PARK 7 LLC","Park Portfolio","144-146 Affleck St",,"6","2S","2"
"S0026","SREP PARK 7 LLC","Park Portfolio","144-146 Affleck St",,"6","3N","2"
"S0026","SREP PARK 7 LLC","Park Portfolio","144-146 Affleck St",,"6","3S","2"
"S0006","SREP SOUTHEND 3 LLC","South End Portf.","15-17 Whitmore Street",,"6","1E","2"
"S0006","SREP SOUTHEND 3 LLC","South End Portf.","15-17 Whitmore Street",,"6","1W - A","2"
"S0006","SREP SOUTHEND 3 LLC","South End Portf.","15-17 Whitmore Street",,"6","1W - B & C","2"
"S0006","SREP SOUTHEND 3 LLC","South End Portf.","15-17 Whitmore Street",,"6","2E","2"
"S0006","SREP SOUTHEND 3 LLC","South End Portf.","15-17 Whitmore Street",,"6","2W","2"
"S0006","SREP SOUTHEND 3 LLC","South End Portf.","15-17 Whitmore Street",,"6","3E","2"
"S0006","SREP SOUTHEND 3 LLC","South End Portf.","15-17 Whitmore Street",,"6","3W","2"
"S0013","SREP NORTHEND LLC","North End Portf.","152-154 Wooster St",,"6","1A","2"
"S0013","SREP NORTHEND LLC","North End Portf.","152-154 Wooster St",,"6","1B","2"
"S0013","SREP NORTHEND LLC","North End Portf.","152-154 Wooster St",,"6","2A","2"
"S0013","SREP NORTHEND LLC","North End Portf.","152-154 Wooster St",,"6","2B","2"
"S0013","SREP NORTHEND LLC","North End Portf.","152-154 Wooster St",,"6","3A","2"
"S0013","SREP NORTHEND LLC","North End Portf.","152-154 Wooster St",,"6","3B","2"
"S0034","SREP PARK 10 LLC","Park Portfolio","158 Seymour St",,"8","1E","2"
"S0034","SREP PARK 10 LLC","Park Portfolio","158 Seymour St",,"8","1W","2"
"S0034","SREP PARK 10 LLC","Park Portfolio","158 Seymour St",,"8","2E","2"
"S0034","SREP PARK 10 LLC","Park Portfolio","158 Seymour St",,"8","2W","2"
"S0034","SREP PARK 10 LLC","Park Portfolio","158 Seymour St",,"8","3E","2"
"S0034","SREP PARK 10 LLC","Park Portfolio","158 Seymour St",,"8","3W","2"
"S0034","SREP PARK 10 LLC","Park Portfolio","158 Seymour St",,"8","4E","2"
"S0034","SREP PARK 10 LLC","Park Portfolio","158 Seymour St",,"8","4W","2"
"S0014","SREP NORTHEND LLC","North End Portf.","160 Wooster St",,"3","1","2"
"S0014","SREP NORTHEND LLC","North End Portf.","160 Wooster St",,"3","2","2"
"S0014","SREP NORTHEND LLC","North End Portf.","160 Wooster St",,"3","3","2"
"S0035","SREP PARK 10 LLC","Park Portfolio","164 Seymour St",,"3","1","2"
"S0035","SREP PARK 10 LLC","Park Portfolio","164 Seymour St",,"3","2","2"
"S0035","SREP PARK 10 LLC","Park Portfolio","164 Seymour St",,"3","3","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","1A","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","1C","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","1D","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","1E","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","2A","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","2B","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","2C","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","2D","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","2E","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","3A","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","3B","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","3C","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","3D","2"
"S0015","SREP NORTHEND LLC","North End Portf.","165 Westland St",,"14","3E","2"
"S0036","SREP PARK 10 LLC","Park Portfolio","167 Seymour St",,"11","1NE","2"
"S0036","SREP PARK 10 LLC","Park Portfolio","167 Seymour St",,"11","1NW","2"
"S0036","SREP PARK 10 LLC","Park Portfolio","167 Seymour St",,"11","1SE","2"
"S0036","SREP PARK 10 LLC","Park Portfolio","167 Seymour St",,"11","1SW","2"
"S0036","SREP PARK 10 LLC","Park Portfolio","167 Seymour St",,"11","2NE","2"
"S0036","SREP PARK 10 LLC","Park Portfolio","167 Seymour St",,"11","2NW","2"
"S0036","SREP PARK 10 LLC","Park Portfolio","167 Seymour St",,"11","2SE","2"
"S0036","SREP PARK 10 LLC","Park Portfolio","167 Seymour St",,"11","2SW","2"
"S0036","SREP PARK 10 LLC","Park Portfolio","167 Seymour St",,"11","3NE","2"
"S0036","SREP PARK 10 LLC","Park Portfolio","167 Seymour St",,"11","3NW","2"
"S0036","SREP PARK 10 LLC","Park Portfolio","167 Seymour St",,"11","3SE","2"
"S0036","SREP PARK 10 LLC","Park Portfolio","167 Seymour St",,"11","3SW","2"
"S0037","SREP PARK 10 LLC","Park Portfolio","169 Seymour St",,"11","1N","2"
"S0037","SREP PARK 10 LLC","Park Portfolio","169 Seymour St",,"11","1S","2"
"S0037","SREP PARK 10 LLC","Park Portfolio","169 Seymour St",,"11","2N","2"
"S0037","SREP PARK 10 LLC","Park Portfolio","169 Seymour St",,"11","2S","2"
"S0037","SREP PARK 10 LLC","Park Portfolio","169 Seymour St",,"11","2W","2"
