"asset_id","canonical_address","unit_number","bedroom_count"
"S0001","90 Park Street","6","4"
"S0001","90 Park Street","8","2"
"S0002","97-103 Maple Ave","B4 - B","0"
"S0002","97-103 Maple Ave","D4 - C","0"
"S0002","97-103 Maple Ave","Retail 3","0"
"S0010","228 Maple Ave","1N","3"
"S0010","228 Maple Ave","1S","3"
"S0010","228 Maple Ave","2N","3"
"S0010","228 Maple Ave","2S","3"
"S0010","228 Maple Ave","3N","3"
"S0010","228 Maple Ave","3S","3"
"S0015","165 Westland St","1B","0"
"S0019","93-95 Maple Ave","Retail","0"
"S0020","31-33 Park St","1N","1"
"S0020","31-33 Park St","1S","2"
"S0020","31-33 Park St","2N","2"
"S0020","31-33 Park St","2S","2"
"S0020","31-33 Park St","3N","2"
"S0020","31-33 Park St","3S","2"
"S0021","67-73 Park St","301","2"
"S0022","83-91 Park St","COM 85 Park","0"
"S0022","83-91 Park St","COM 89 Park","0"
"S0023","57 Park St","2E","3"
"S0024","10 Wolcott St","1N","2"
"S0024","10 Wolcott St","1S","4"
"S0024","10 Wolcott St","2N","2"
"S0024","10 Wolcott St","2S","4"
"S0024","10 Wolcott St","3E","4"
"S0024","10 Wolcott St","3N","2"
"S0024","10 Wolcott St","3S","4"
"S0026","144-146 Affleck St","1N","2"
"S0028","182 Affleck St","COM 184 Affleck","0"
"S0030","195 Affleck St","1A","3"
"S0038","170 Seymour St","2N","3"
"S0040","213-217 Buckingham St","101","0"
"S0040","213-217 Buckingham St","102","0"
"S0040","213-217 Buckingham St","103","0"
"S0040","213-217 Buckingham St","201","0"
"S0040","213-217 Buckingham St","204","0"
"S0040","213-217 Buckingham St","303","0"
"S0040","213-217 Buckingham St","401","0"
"S0040","213-217 Buckingham St","402","1"
"S0040","213-217 Buckingham St","403","0"
"S0040","213-217 Buckingham St","404","0"
"S0040","213-217 Buckingham St","405","1"
